ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000001.SH,20190516,2955.711,2933.4954,2956.171,2929.0645,2938.6781,17.0329,0.5796,248385701.0,226203068.9
000001.SH,20190515,2938.6781,2902.6423,2945.3946,2902.6423,2883.6107,55.0674,1.9097,230519701.0,226262785.6
000001.SH,20190514,2883.6107,2872.8336,2909.2041,2872.8336,2903.7131,-20.1024,-0.6923,208345353.0,201223315.4
000001.SH,20190513,2903.7131,2905.067,2921.4103,2892.1745,2939.2106,-35.4975,-1.2077,212029882.0,202624125.0
000001.SH,20190510,2939.2106,2878.2344,2941.4539,2838.3847,2850.9537,88.2569,3.0957,282306808.0,274176262.0
000001.SH,20190509,2850.9537,2871.1968,2888.8596,2845.0374,2893.7567,-42.803,-1.4791,200041133.0,197446880.7
000001.SH,20190508,2893.7567,2873.1433,2929.4306,2866.7041,2926.3908,-32.6341,-1.1152,231530519.0,218892618.3
000001.SH,20190507,2926.3908,2914.2914,2937.2832,2889.0732,2906.464,19.9268,0.6856,253281769.0,245444215.2
000001.SH,20190506,2906.464,2984.7273,2986.5399,2876.4688,3078.3389,-171.8749,-5.5834,326972269.0,314336519.4
000001.SH,20190430,3078.3389,3052.6223,3088.4074,3052.6223,3062.4985,15.8404,0.5172,222302517.0,225498129.2
000001.SH,20190429,3062.4985,3090.6331,3107.7605,3050.0261,3086.3989,-23.9004,-0.7744,292114886.0,289063278.9
000001.SH,20190426,3086.3989,3108.1635,3129.2134,3085.8049,3123.8261,-37.4272,-1.1981,280873854.0,274776402.3
000001.SH,20190425,3123.8261,3190.5851,3193.7494,3123.0258,3201.6137,-77.7876,-2.4296,325879129.0,309076083.7
000001.SH,20190424,3201.6137,3203.5588,3210.6508,3156.607,3198.5938,3.0199,0.0944,274872164.0,278410852.5
000001.SH,20190423,3198.5938,3211.8719,3231.5815,3186.7569,3215.0426,-16.4488,-0.5116,328361207.0,324870183.4
000001.SH,20190422,3215.0426,3278.4906,3279.4894,3206.878,3270.7973,-55.7547,-1.7046,353217387.0,359154297.1
000001.SH,20190419,3270.7973,3250.1452,3274.3347,3226.8124,3250.2012,20.5961,0.6337,315198004.0,315131920.2
000001.SH,20190418,3250.2012,3261.0742,3271.3878,3241.8257,3263.1179,-12.9167,-0.3958,325539942.0,323508178.6
000001.SH,20190417,3263.1179,3250.1518,3275.3335,3239.8048,3253.5978,9.5201,0.2926,357541796.0,354509888.1
000001.SH,20190416,3253.5978,3164.3969,3253.5978,3153.2062,3177.7866,75.8112,2.3857,357918752.0,360166633.6
000001.SH,20190415,3177.7866,3233.4583,3253.9763,3177.2698,3188.6256,-10.839,-0.3399,348809785.0,355666127.7
